index,source_id,source_path,file_type,document_char_count,document_word_count,chunk_count,avg_chunk_words,max_chunk_words,min_chunk_words,status
1,1uZJ5_5jVjzuLs_RGTLPuK9v8o8nCTaKAepE0IQjNV5M,Liquid Rocketry at Illinois Constitution,txt,29018,4657,6,776.17,896,208,ok
2,10UivFhPb2FOZHLbnkv2ks90kT4-Z7NuZ_y7jDkCiKhE,Liquid Rocketry at Illinois Constitution,txt,29016,4656,6,776.0,900,200,ok
3,1pG6ndF_K_usGEMqpWKkuGNEPK9C-w__V,Liquid Rocketry at Illinois Constitution.pdf,pdf,31857,4688,6,782.17,787,776,ok
4,1GpG647lFwX9mzxewBjkffp5T8kdsutVuqcIQrqNllkw,Photos/Videos/Tech Teams/SRD/SRD Regen Pictures,txt,12,2,1,2.0,2,2,ok
5,1TL94OCV4qocjwnWXlDBoYZ0uOZlUrBSwj41UaFiDIuU,Technical Teams/Tech Meetings/Tech 2/18,txt,6195,1043,2,615.0,746,484,ok
6,1gvqCaFxdGMnLOxC29ZRIm5kXGp2SJypKAbvmt0y1Jms,Technical Teams/Fluids and Internal Structures/Project Documentation/P-10/P-10,txt,756,105,1,105.0,105,105,ok
7,14_M9OjdS8pYD6i6iQuwE0Do6y4rHJdMp49NO8dXkcjY,Technical Teams/Fluids and Internal Structures/Project Documentation/P-08 (Regulator Research)/P-08,txt,2009,285,1,285.0,285,285,ok
8,1Jaei2OvcCAHphQ16e8MKmcvlZ2iTZl7exBfQOlHjYCw,Technical Teams/Fluids and Internal Structures/Project Documentation/P-16 (Tank thermal contraction calc)/P-16,txt,599,90,1,90.0,90,90,ok
9,1AtuzY_HijrFSAIbwBEgnKVUQ7eXu4Zfam2N_pbJKFvo,Technical Teams/Fluids and Internal Structures/Project Documentation/P-07 (Bang Bang)/Bang Bang Pressure Regulator Description,txt,2671,445,1,445.0,445,445,ok
10,1LImfO3sdn5iF_9hi-jixOTEPC-15pKP8nLTmUw6IXwc,Technical Teams/Fluids and Internal Structures/Project Documentation/P-07 (Bang Bang)/P-07,txt,888,129,1,129.0,129,129,ok
11,1WGldkdgvCCimzSoHlx-vDVxA0_hUuMzgRBVRmSKzakE,Technical Teams/Fluids and Internal Structures/Project Documentation/P-15 (GSE)/P-15,txt,511,70,1,70.0,70,70,ok
12,1qyxDqjS2Jj4dJMAEJnfgQIJcN4b4mSls1zi58NZotiw,Technical Teams/Fluids and Internal Structures/Project Documentation/P-06 (Load Calc)/P-06,txt,825,58,1,58.0,58,58,ok
13,1JO6cGpqqYUiX3kpfAb241vp6LSIPZn7exw2dsvLa-uk,Technical Teams/Fluids and Internal Structures/Project Documentation/P-05 (Mounting Frame/Ring CAD)/P-05,txt,1624,178,1,178.0,178,178,ok
14,1_UeoivdsG1OkBmW6psd8P1eyblx2gDTZhnHGd78n7S4,Technical Teams/Fluids and Internal Structures/Project Documentation/P-04 (Off Rod Time Analysis)/P-04,txt,894,101,1,101.0,101,101,ok
15,1nN2c-31IfY5GTVoQU5-G04y4wn4n_w3-HugbtZRJP_g,Technical Teams/Fluids and Internal Structures/Project Documentation/P-14/P-14,txt,618,86,1,86.0,86,86,ok
16,17FD93Wp4vesVy7h45ZK96nx1OTftE1xgW67qD8ids-Q,Technical Teams/Fluids and Internal Structures/Project Documentation/P-13/P-13,txt,629,86,1,86.0,86,86,ok
17,11KRy3-tOH3JmRkykNopxeteQBJP-DRELWBp6FZUgrS8,Technical Teams/Fluids and Internal Structures/Project Documentation/P-12/P-12,txt,745,107,1,107.0,107,107,ok
18,1t5dfZcOzXCUW3VZMAVaQPl3E3vN5AKr6Fq4sj5H32ZI,Technical Teams/Fluids and Internal Structures/Project Documentation/P-11/P-11,txt,2014,293,1,293.0,293,293,ok
19,1lViEz9J51COOelBPUh0ueqCY3j7G9bB_H4pVrLcHaVg,Technical Teams/Fluids and Internal Structures/Project Documentation/**Template DO NOT DELETE,txt,450,66,1,66.0,66,66,ok
20,1J9tePwz-UbHujpxlHaKERLa1L0trgHaMROunsA9m9pg,Technical Teams/Fluids and Internal Structures/Project Documentation/P-09/P-09,txt,599,85,1,85.0,85,85,ok
21,1YSkkOvZI0NgonuyAbJr6nIBELYShhFPP3WupDWulJEw,Technical Teams/Fluids and Internal Structures/Project Documentation/P-09/P-09,txt,363,47,1,47.0,47,47,ok
22,1llceGUfZxLjiWRIl4CiQG-2zIRs8hhLu9D0Wx5y61-Y,Technical Teams/Fluids and Internal Structures/Project Documentation/P-03/P-03,txt,697,84,1,84.0,84,84,ok
23,1YJ_S_zavTUAJxeCakmZk-Dk6WLeWAjjkYwVRpdMry04,Technical Teams/Fluids and Internal Structures/Project Documentation/P-01/P-01,txt,1027,127,1,127.0,127,127,ok
24,1M6K8SzNdiTMWc4cV5cvsXm7uTuYJmp0vtF4LK2shrg8,Technical Teams/Fluids and Internal Structures/Project Documentation/P-02/P-02,txt,800,117,1,117.0,117,117,ok
25,1FP9n9L49tM5bzUFc4A7foMKaGpUYbJhzfZsCkwFBQm0,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/IDR notes with Ian,txt,7323,1356,3,452.0,882,234,ok
26,1EQgZe2mA5ssnz6NuqE8BIJvpo_BT31haiX8LV9-zgtc,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Leads Meeting Notes/FIS Leads meeting notes 2/3/26,txt,522,99,1,99.0,99,99,ok
27,1-4b0k8EmmMp02N0811mtkay8reH388nXIFNpkCQ2neA,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/FIS AE199 HW1,pdf,1101,190,1,190.0,190,190,ok
28,19Kommc_I5PyEs_AVWX6OcYd-82em-ITKqAQVGYkjjVM,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/PDR/FIS IDR Notes,txt,1197,241,1,241.0,241,241,ok
29,1fw6BQE8gj2jItT5Js0p-MqsNk2wZlu90JI9DZ7MzyIQ,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/PDR/Old PDR slide,pdf,3537,588,1,588.0,588,588,ok
30,1LT1jXr5J5SoteoqHbulAxX1-xLjhaQb2AJKkggnNOSE,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Active Department Notes,txt,21513,3604,5,736.0,769,659,ok
31,1rstkRy1rD_PDtwlqfTZkZLNDOB47t1DEVU7OEa5OXsM,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/P&ID Finalization,txt,1789,301,1,301.0,301,301,ok
32,10dKcp8OgUpUGHcYJX324TwKNdbW4gL8VX6iWTov8hyU,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Archive/Onboarding (With retrospective),txt,2536,446,1,446.0,446,446,ok
33,1rZ8FJ7PDQlsm6I1CLJhw06rGk1XwUnSvRoGoizQ1JXM,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Archive/Active Testing Note Document (SP2025),txt,2076,367,1,367.0,367,367,ok
34,1ZMWofhVRj7ns7ujiaSkc7_5Ht9Ii_4qB0uNzwN1PtTw,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Liquid Rocketry Bible/Liquid Rocketry at Illinois Technical Handbook,txt,21350,3630,6,639.5,786,125,ok
35,1Kx4gslI0l48Ok_vUJx7xx8bdNUPWnbIq,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Liquid Rocketry Bible/Overture 10/7/2025.pdf,pdf,73010,14646,31,735.26,930,291,ok
36,1hVYR-ddJNK3R_neTcsoZFAZt8TCT5fAuB1GEFLa0DlA,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/SRR/FIS Propulsion Module: SRR Slides,pdf,8569,1262,2,679.5,791,568,ok
