index,id,name,path,mimeType,webViewLink,mode,export_mime,local_path,status,size_written_bytes,error
1,1uZJ5_5jVjzuLs_RGTLPuK9v8o8nCTaKAepE0IQjNV5M,Liquid Rocketry at Illinois Constitution,Liquid Rocketry at Illinois Constitution,application/vnd.google-apps.document,https://docs.google.com/document/d/1uZJ5_5jVjzuLs_RGTLPuK9v8o8nCTaKAepE0IQjNV5M/edit?usp=drivesdk,export,text/plain,rag_downloads/Liquid Rocketry at Illinois Constitution.txt,export,29431.0,
2,10UivFhPb2FOZHLbnkv2ks90kT4-Z7NuZ_y7jDkCiKhE,Liquid Rocketry at Illinois Constitution,Liquid Rocketry at Illinois Constitution,application/vnd.google-apps.document,https://docs.google.com/document/d/10UivFhPb2FOZHLbnkv2ks90kT4-Z7NuZ_y7jDkCiKhE/edit?usp=drivesdk,export,text/plain,rag_downloads/Liquid Rocketry at Illinois Constitution__dup1.txt,export,29429.0,
3,1pG6ndF_K_usGEMqpWKkuGNEPK9C-w__V,Liquid Rocketry at Illinois Constitution.pdf,Liquid Rocketry at Illinois Constitution.pdf,application/pdf,https://drive.google.com/file/d/1pG6ndF_K_usGEMqpWKkuGNEPK9C-w__V/view?usp=drivesdk,download,,rag_downloads/Liquid Rocketry at Illinois Constitution.pdf,download,585312.0,
4,1GpG647lFwX9mzxewBjkffp5T8kdsutVuqcIQrqNllkw,SRD Regen Pictures,Photos/Videos/Tech Teams/SRD/SRD Regen Pictures,application/vnd.google-apps.document,https://docs.google.com/document/d/1GpG647lFwX9mzxewBjkffp5T8kdsutVuqcIQrqNllkw/edit?usp=drivesdk,export,text/plain,rag_downloads/SRD Regen Pictures.txt,export,14.0,
5,1RXY-u0MCdMiyvwk5NjRzx1JuIWTpjFsATJbZGi8UuIs,Requirements Spreadsheet,Technical Teams/Requirements Spreadsheet,application/vnd.google-apps.spreadsheet,https://docs.google.com/spreadsheets/d/1RXY-u0MCdMiyvwk5NjRzx1JuIWTpjFsATJbZGi8UuIs/edit?usp=drivesdk,export,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,rag_downloads/Requirements Spreadsheet.xlsx,export,75022.0,
6,1oy_Qigbw6GwvWj2VcblpKRWU9MOTBWEiibrFcwp8e64,Copy of Requirements Spreadsheet,Technical Teams/Copy of Requirements Spreadsheet,application/vnd.google-apps.spreadsheet,https://docs.google.com/spreadsheets/d/1oy_Qigbw6GwvWj2VcblpKRWU9MOTBWEiibrFcwp8e64/edit?usp=drivesdk,export,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,rag_downloads/Copy of Requirements Spreadsheet.xlsx,export,56185.0,
7,1ClGomAhvmWaWOheZVTJ6ohJt3VMXWUWUz6HaH_rLQGI,ansys licenses,Technical Teams/ansys licenses,application/vnd.google-apps.spreadsheet,https://docs.google.com/spreadsheets/d/1ClGomAhvmWaWOheZVTJ6ohJt3VMXWUWUz6HaH_rLQGI/edit?usp=drivesdk,export,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,rag_downloads/ansys licenses.xlsx,export,6527.0,
8,1TL94OCV4qocjwnWXlDBoYZ0uOZlUrBSwj41UaFiDIuU,Tech 2/18,Technical Teams/Tech Meetings/Tech 2/18,application/vnd.google-apps.document,https://docs.google.com/document/d/1TL94OCV4qocjwnWXlDBoYZ0uOZlUrBSwj41UaFiDIuU/edit?usp=drivesdk,export,text/plain,rag_downloads/Tech 2_18.txt,export,6564.0,
9,1gvqCaFxdGMnLOxC29ZRIm5kXGp2SJypKAbvmt0y1Jms,P-10,Technical Teams/Fluids and Internal Structures/Project Documentation/P-10/P-10,application/vnd.google-apps.document,https://docs.google.com/document/d/1gvqCaFxdGMnLOxC29ZRIm5kXGp2SJypKAbvmt0y1Jms/edit?usp=drivesdk,export,text/plain,rag_downloads/P-10.txt,export,844.0,
10,14_M9OjdS8pYD6i6iQuwE0Do6y4rHJdMp49NO8dXkcjY,P-08,Technical Teams/Fluids and Internal Structures/Project Documentation/P-08 (Regulator Research)/P-08,application/vnd.google-apps.document,https://docs.google.com/document/d/14_M9OjdS8pYD6i6iQuwE0Do6y4rHJdMp49NO8dXkcjY/edit?usp=drivesdk,export,text/plain,rag_downloads/P-08.txt,export,2198.0,
