index,source_id,source_path,local_path,extension,status,char_count,word_count,error
1,1uZJ5_5jVjzuLs_RGTLPuK9v8o8nCTaKAepE0IQjNV5M,Liquid Rocketry at Illinois Constitution,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Liquid Rocketry at Illinois Constitution.txt,.txt,ok,29018,4657,
2,10UivFhPb2FOZHLbnkv2ks90kT4-Z7NuZ_y7jDkCiKhE,Liquid Rocketry at Illinois Constitution,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Liquid Rocketry at Illinois Constitution__dup1.txt,.txt,ok,29016,4656,
3,1pG6ndF_K_usGEMqpWKkuGNEPK9C-w__V,Liquid Rocketry at Illinois Constitution.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Liquid Rocketry at Illinois Constitution.pdf,.pdf,ok,31857,4688,
4,1GpG647lFwX9mzxewBjkffp5T8kdsutVuqcIQrqNllkw,Photos/Videos/Tech Teams/SRD/SRD Regen Pictures,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/SRD Regen Pictures.txt,.txt,ok,12,2,
5,1TL94OCV4qocjwnWXlDBoYZ0uOZlUrBSwj41UaFiDIuU,Technical Teams/Tech Meetings/Tech 2/18,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Tech 2_18.txt,.txt,ok,6195,1043,
6,1gvqCaFxdGMnLOxC29ZRIm5kXGp2SJypKAbvmt0y1Jms,Technical Teams/Fluids and Internal Structures/Project Documentation/P-10/P-10,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/P-10.txt,.txt,ok,756,105,
7,14_M9OjdS8pYD6i6iQuwE0Do6y4rHJdMp49NO8dXkcjY,Technical Teams/Fluids and Internal Structures/Project Documentation/P-08 (Regulator Research)/P-08,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/P-08.txt,.txt,ok,2009,285,
8,1Jaei2OvcCAHphQ16e8MKmcvlZ2iTZl7exBfQOlHjYCw,Technical Teams/Fluids and Internal Structures/Project Documentation/P-16 (Tank thermal contraction calc)/P-16,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/P-16.txt,.txt,ok,599,90,
9,1AtuzY_HijrFSAIbwBEgnKVUQ7eXu4Zfam2N_pbJKFvo,Technical Teams/Fluids and Internal Structures/Project Documentation/P-07 (Bang Bang)/Bang Bang Pressure Regulator Description,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Bang Bang Pressure Regulator Description.txt,.txt,ok,2671,445,
10,1LImfO3sdn5iF_9hi-jixOTEPC-15pKP8nLTmUw6IXwc,Technical Teams/Fluids and Internal Structures/Project Documentation/P-07 (Bang Bang)/P-07,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/P-07.txt,.txt,ok,888,129,
11,1WGldkdgvCCimzSoHlx-vDVxA0_hUuMzgRBVRmSKzakE,Technical Teams/Fluids and Internal Structures/Project Documentation/P-15 (GSE)/P-15,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/P-15.txt,.txt,ok,511,70,
12,1qyxDqjS2Jj4dJMAEJnfgQIJcN4b4mSls1zi58NZotiw,Technical Teams/Fluids and Internal Structures/Project Documentation/P-06 (Load Calc)/P-06,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/P-06.txt,.txt,ok,825,58,
13,1JO6cGpqqYUiX3kpfAb241vp6LSIPZn7exw2dsvLa-uk,Technical Teams/Fluids and Internal Structures/Project Documentation/P-05 (Mounting Frame/Ring CAD)/P-05,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/P-05.txt,.txt,ok,1624,178,
14,1_UeoivdsG1OkBmW6psd8P1eyblx2gDTZhnHGd78n7S4,Technical Teams/Fluids and Internal Structures/Project Documentation/P-04 (Off Rod Time Analysis)/P-04,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/P-04.txt,.txt,ok,894,101,
15,1nN2c-31IfY5GTVoQU5-G04y4wn4n_w3-HugbtZRJP_g,Technical Teams/Fluids and Internal Structures/Project Documentation/P-14/P-14,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/P-14.txt,.txt,ok,618,86,
16,17FD93Wp4vesVy7h45ZK96nx1OTftE1xgW67qD8ids-Q,Technical Teams/Fluids and Internal Structures/Project Documentation/P-13/P-13,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/P-13.txt,.txt,ok,629,86,
17,11KRy3-tOH3JmRkykNopxeteQBJP-DRELWBp6FZUgrS8,Technical Teams/Fluids and Internal Structures/Project Documentation/P-12/P-12,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/P-12.txt,.txt,ok,745,107,
18,1t5dfZcOzXCUW3VZMAVaQPl3E3vN5AKr6Fq4sj5H32ZI,Technical Teams/Fluids and Internal Structures/Project Documentation/P-11/P-11,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/P-11.txt,.txt,ok,2014,293,
19,1lViEz9J51COOelBPUh0ueqCY3j7G9bB_H4pVrLcHaVg,Technical Teams/Fluids and Internal Structures/Project Documentation/**Template DO NOT DELETE,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/__Template DO NOT DELETE.txt,.txt,ok,450,66,
20,1J9tePwz-UbHujpxlHaKERLa1L0trgHaMROunsA9m9pg,Technical Teams/Fluids and Internal Structures/Project Documentation/P-09/P-09,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/P-09.txt,.txt,ok,599,85,
21,1YSkkOvZI0NgonuyAbJr6nIBELYShhFPP3WupDWulJEw,Technical Teams/Fluids and Internal Structures/Project Documentation/P-09/P-09,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/P-09__dup1.txt,.txt,ok,363,47,
22,1llceGUfZxLjiWRIl4CiQG-2zIRs8hhLu9D0Wx5y61-Y,Technical Teams/Fluids and Internal Structures/Project Documentation/P-03/P-03,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/P-03.txt,.txt,ok,697,84,
23,1YJ_S_zavTUAJxeCakmZk-Dk6WLeWAjjkYwVRpdMry04,Technical Teams/Fluids and Internal Structures/Project Documentation/P-01/P-01,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/P-01.txt,.txt,ok,1027,127,
24,1M6K8SzNdiTMWc4cV5cvsXm7uTuYJmp0vtF4LK2shrg8,Technical Teams/Fluids and Internal Structures/Project Documentation/P-02/P-02,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/P-02.txt,.txt,ok,800,117,
25,1FP9n9L49tM5bzUFc4A7foMKaGpUYbJhzfZsCkwFBQm0,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/IDR notes with Ian,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/IDR notes with Ian.txt,.txt,ok,7323,1356,
26,1EQgZe2mA5ssnz6NuqE8BIJvpo_BT31haiX8LV9-zgtc,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Leads Meeting Notes/FIS Leads meeting notes 2/3/26,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/FIS Leads meeting notes 2_3_26.txt,.txt,ok,522,99,
27,1-4b0k8EmmMp02N0811mtkay8reH388nXIFNpkCQ2neA,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/FIS AE199 HW1,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/FIS AE199 HW1.pdf,.pdf,ok,1101,190,
28,19Kommc_I5PyEs_AVWX6OcYd-82em-ITKqAQVGYkjjVM,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/PDR/FIS IDR Notes,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/FIS IDR Notes.txt,.txt,ok,1197,241,
29,1fw6BQE8gj2jItT5Js0p-MqsNk2wZlu90JI9DZ7MzyIQ,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/PDR/Old PDR slide,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Old PDR slide.pdf,.pdf,ok,3537,588,
30,1LT1jXr5J5SoteoqHbulAxX1-xLjhaQb2AJKkggnNOSE,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Active Department Notes,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Active Department Notes.txt,.txt,ok,21513,3604,
31,1rstkRy1rD_PDtwlqfTZkZLNDOB47t1DEVU7OEa5OXsM,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/P&ID Finalization,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/P&ID Finalization.txt,.txt,ok,1789,301,
32,10dKcp8OgUpUGHcYJX324TwKNdbW4gL8VX6iWTov8hyU,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Archive/Onboarding (With retrospective),/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Onboarding (With retrospective).txt,.txt,ok,2536,446,
33,1rZ8FJ7PDQlsm6I1CLJhw06rGk1XwUnSvRoGoizQ1JXM,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Archive/Active Testing Note Document (SP2025),/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Active Testing Note Document (SP2025).txt,.txt,ok,2076,367,
34,1ZMWofhVRj7ns7ujiaSkc7_5Ht9Ii_4qB0uNzwN1PtTw,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Liquid Rocketry Bible/Liquid Rocketry at Illinois Technical Handbook,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Liquid Rocketry at Illinois Technical Handbook.txt,.txt,ok,21350,3630,
35,1Kx4gslI0l48Ok_vUJx7xx8bdNUPWnbIq,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Liquid Rocketry Bible/Overture 10/7/2025.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Overture 10_7_2025.pdf,.pdf,ok,73010,14646,
36,1hVYR-ddJNK3R_neTcsoZFAZt8TCT5fAuB1GEFLa0DlA,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/SRR/FIS Propulsion Module: SRR Slides,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/FIS Propulsion Module_ SRR Slides.pdf,.pdf,ok,8569,1262,
37,1ItmcxwBKoqEU2CX7LlCiOJRviTe_rCQlIKqAbXNz0HQ,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/SRR/FIS SRR Notes,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/FIS SRR Notes.txt,.txt,ok,3654,689,
