index,source_id,source_path,file_type,word_count,decision,reason
1,1uZJ5_5jVjzuLs_RGTLPuK9v8o8nCTaKAepE0IQjNV5M,Liquid Rocketry at Illinois Constitution,txt,4657,keep,kept
2,10UivFhPb2FOZHLbnkv2ks90kT4-Z7NuZ_y7jDkCiKhE,Liquid Rocketry at Illinois Constitution,txt,4656,keep,kept
3,1pG6ndF_K_usGEMqpWKkuGNEPK9C-w__V,Liquid Rocketry at Illinois Constitution.pdf,pdf,4688,keep,kept
4,1GpG647lFwX9mzxewBjkffp5T8kdsutVuqcIQrqNllkw,Photos/Videos/Tech Teams/SRD/SRD Regen Pictures,txt,2,keep,kept
5,1TL94OCV4qocjwnWXlDBoYZ0uOZlUrBSwj41UaFiDIuU,Technical Teams/Tech Meetings/Tech 2/18,txt,1043,keep,kept
6,1gvqCaFxdGMnLOxC29ZRIm5kXGp2SJypKAbvmt0y1Jms,Technical Teams/Fluids and Internal Structures/Project Documentation/P-10/P-10,txt,105,keep,kept
7,14_M9OjdS8pYD6i6iQuwE0Do6y4rHJdMp49NO8dXkcjY,Technical Teams/Fluids and Internal Structures/Project Documentation/P-08 (Regulator Research)/P-08,txt,285,keep,kept
8,1Jaei2OvcCAHphQ16e8MKmcvlZ2iTZl7exBfQOlHjYCw,Technical Teams/Fluids and Internal Structures/Project Documentation/P-16 (Tank thermal contraction calc)/P-16,txt,90,keep,kept
9,1AtuzY_HijrFSAIbwBEgnKVUQ7eXu4Zfam2N_pbJKFvo,Technical Teams/Fluids and Internal Structures/Project Documentation/P-07 (Bang Bang)/Bang Bang Pressure Regulator Description,txt,445,keep,kept
10,1LImfO3sdn5iF_9hi-jixOTEPC-15pKP8nLTmUw6IXwc,Technical Teams/Fluids and Internal Structures/Project Documentation/P-07 (Bang Bang)/P-07,txt,129,keep,kept
11,1WGldkdgvCCimzSoHlx-vDVxA0_hUuMzgRBVRmSKzakE,Technical Teams/Fluids and Internal Structures/Project Documentation/P-15 (GSE)/P-15,txt,70,keep,kept
12,1qyxDqjS2Jj4dJMAEJnfgQIJcN4b4mSls1zi58NZotiw,Technical Teams/Fluids and Internal Structures/Project Documentation/P-06 (Load Calc)/P-06,txt,58,keep,kept
13,1JO6cGpqqYUiX3kpfAb241vp6LSIPZn7exw2dsvLa-uk,Technical Teams/Fluids and Internal Structures/Project Documentation/P-05 (Mounting Frame/Ring CAD)/P-05,txt,178,keep,kept
14,1_UeoivdsG1OkBmW6psd8P1eyblx2gDTZhnHGd78n7S4,Technical Teams/Fluids and Internal Structures/Project Documentation/P-04 (Off Rod Time Analysis)/P-04,txt,101,keep,kept
15,1nN2c-31IfY5GTVoQU5-G04y4wn4n_w3-HugbtZRJP_g,Technical Teams/Fluids and Internal Structures/Project Documentation/P-14/P-14,txt,86,keep,kept
16,17FD93Wp4vesVy7h45ZK96nx1OTftE1xgW67qD8ids-Q,Technical Teams/Fluids and Internal Structures/Project Documentation/P-13/P-13,txt,86,keep,kept
17,11KRy3-tOH3JmRkykNopxeteQBJP-DRELWBp6FZUgrS8,Technical Teams/Fluids and Internal Structures/Project Documentation/P-12/P-12,txt,107,keep,kept
18,1t5dfZcOzXCUW3VZMAVaQPl3E3vN5AKr6Fq4sj5H32ZI,Technical Teams/Fluids and Internal Structures/Project Documentation/P-11/P-11,txt,293,keep,kept
19,1lViEz9J51COOelBPUh0ueqCY3j7G9bB_H4pVrLcHaVg,Technical Teams/Fluids and Internal Structures/Project Documentation/**Template DO NOT DELETE,txt,66,keep,kept
20,1J9tePwz-UbHujpxlHaKERLa1L0trgHaMROunsA9m9pg,Technical Teams/Fluids and Internal Structures/Project Documentation/P-09/P-09,txt,85,keep,kept
21,1YSkkOvZI0NgonuyAbJr6nIBELYShhFPP3WupDWulJEw,Technical Teams/Fluids and Internal Structures/Project Documentation/P-09/P-09,txt,47,keep,kept
22,1llceGUfZxLjiWRIl4CiQG-2zIRs8hhLu9D0Wx5y61-Y,Technical Teams/Fluids and Internal Structures/Project Documentation/P-03/P-03,txt,84,keep,kept
23,1YJ_S_zavTUAJxeCakmZk-Dk6WLeWAjjkYwVRpdMry04,Technical Teams/Fluids and Internal Structures/Project Documentation/P-01/P-01,txt,127,keep,kept
24,1M6K8SzNdiTMWc4cV5cvsXm7uTuYJmp0vtF4LK2shrg8,Technical Teams/Fluids and Internal Structures/Project Documentation/P-02/P-02,txt,117,keep,kept
25,1FP9n9L49tM5bzUFc4A7foMKaGpUYbJhzfZsCkwFBQm0,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/IDR notes with Ian,txt,1356,keep,kept
26,1EQgZe2mA5ssnz6NuqE8BIJvpo_BT31haiX8LV9-zgtc,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Leads Meeting Notes/FIS Leads meeting notes 2/3/26,txt,99,keep,kept
27,1-4b0k8EmmMp02N0811mtkay8reH388nXIFNpkCQ2neA,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/FIS AE199 HW1,pdf,190,keep,kept
28,19Kommc_I5PyEs_AVWX6OcYd-82em-ITKqAQVGYkjjVM,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/PDR/FIS IDR Notes,txt,241,keep,kept
29,1fw6BQE8gj2jItT5Js0p-MqsNk2wZlu90JI9DZ7MzyIQ,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/PDR/Old PDR slide,pdf,588,keep,kept
30,1LT1jXr5J5SoteoqHbulAxX1-xLjhaQb2AJKkggnNOSE,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Active Department Notes,txt,3604,keep,kept
31,1rstkRy1rD_PDtwlqfTZkZLNDOB47t1DEVU7OEa5OXsM,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/P&ID Finalization,txt,301,keep,kept
32,10dKcp8OgUpUGHcYJX324TwKNdbW4gL8VX6iWTov8hyU,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Archive/Onboarding (With retrospective),txt,446,keep,kept
33,1rZ8FJ7PDQlsm6I1CLJhw06rGk1XwUnSvRoGoizQ1JXM,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Archive/Active Testing Note Document (SP2025),txt,367,keep,kept
34,1ZMWofhVRj7ns7ujiaSkc7_5Ht9Ii_4qB0uNzwN1PtTw,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Liquid Rocketry Bible/Liquid Rocketry at Illinois Technical Handbook,txt,3630,keep,force_keep:liquid rocketry at illinois technical handbook
35,1Kx4gslI0l48Ok_vUJx7xx8bdNUPWnbIq,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Liquid Rocketry Bible/Overture 10/7/2025.pdf,pdf,14646,keep,kept
36,1hVYR-ddJNK3R_neTcsoZFAZt8TCT5fAuB1GEFLa0DlA,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/SRR/FIS Propulsion Module: SRR Slides,pdf,1262,keep,kept
37,1ItmcxwBKoqEU2CX7LlCiOJRviTe_rCQlIKqAbXNz0HQ,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/SRR/FIS SRR Notes,txt,689,keep,kept
38,12tM8-XkHcoZLx-TGs-IArF7Qwl5C6_UmYGmMpR5y6oE,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Templates/Check Valve Troubleshoot Task Document ,txt,803,keep,kept
39,1jN6qtEXvA2LKTY5_ILvoM-axjloI27tx8yp-8Fnl7mY,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Templates/Copy of Task Document Template,txt,47,keep,kept
40,1xcYWDAlUg5ryvbeNHmn94itR7u8kh7l8UInG-uKaFsk,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Testing team structure,txt,28,keep,kept
41,1kzqXV4h8QIg-6MeU3rb1Dn1gnDyg_dHc--Qf4AgWIko,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Testing Tasks,txt,772,keep,kept
42,1SwX6lf-_Br9P844X-fjUTUvnZ7dkRXukNluGxjtfF_w,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Tube sızıng,txt,161,keep,kept
43,15x1Ly0Gz6R0SoCDDTHTJ8K4x46P8VYeYokOr1N6QZIk,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Globe Valve Search for E-Reg,txt,45,keep,kept
